id,date,region,address,location,floor,room,sold_price(HKD),actual_area(ft.),built_area(ft.),actual_price(HKD/ft.),built_price(HKD/ft.),source
9252a990ea35b005067e75a71b23054c,09/03/2024,屯門市中心,瓏門,1座,middle,D,16500,482.0,626.0,34.0,26.0,中原網頁
38180a6625c9a5f65811e8e01b6419fb,08/03/2024,九龍灣,淘大花園,G座,low,7,14300,375.0,482.0,39.0,30.0,美聯網頁
5c6f952ec22fccb927622e36a3ab5525,08/03/2024,寶琳,新都城,03座,middle,G,14800,364.0,511.0,41.0,29.0,美聯網頁
7737955585cc0b933860e8ae7f003457,08/03/2024,沙田第一城,沙田第一城,22座,low,F,18400,484.0,601.0,39.0,31.0,美聯網頁
f60120bab31e5bf6abbbec689c0984f4,08/03/2024,元朗站,Yoho Town,7座,low,E,13500,423.0,544.0,32.0,25.0,美聯網頁
f5ab9881c590f4fc7f804b62d6c4767f,08/03/2024,凹頭,蝶翠峰,05座,middle,C,11500,460.0,625.0,25.0,19.0,美聯網頁
1e34a8f059a309157eadb41b7212536d,08/03/2024,沙田第一城,沙田第一城,45座,low,F,12000,284.0,395.0,43.0,31.0,美聯網頁
4659462a7733b94fbb2e8c7970a67911,08/03/2024,屯門南,豐景園,1座,middle,5,9500,377.0,489.0,25.0,19.0,利嘉閣網頁
5e3e8333b9c52438c1f0123d3ba89dd3,08/03/2024,太和,寶雅苑,興和閣(B座),low,5,11000,447.0,587.0,25.0,19.0,中原網頁
34c63ab3a1051f7d23af315ae11b025f,08/03/2024,沙田,翠麗花園,B座,low,6,13800,410.0,510.0,34.0,27.0,中原網頁
428a67cb3fa97eb284a018b02931d7a8,08/03/2024,九龍灣,淘大花園,J座,middle,3,12800,378.0,484.0,34.0,26.0,利嘉閣網頁
79ce373adb82b377010a20d5951eb8e3,08/03/2024,九龍灣,淘大花園,I座,low,3,15000,378.0,484.0,40.0,31.0,利嘉閣網頁
3dc3a8049f77b8f27aa78d1883f1cb1d,08/03/2024,九龍灣,淘大花園,L座,low,2,14000,356.0,480.0,39.0,29.0,利嘉閣網頁
a3b9a0bc699523daacfe50f57dfa54ef,08/03/2024,堅尼地城,嘉輝花園,D座,low,1,14000,281.0,370.0,50.0,38.0,中原網頁
4749865674f8ddf3fb88e1317060835a,08/03/2024,堅尼地城,嘉輝花園,B座,middle,4,14000,262.0,353.0,53.0,40.0,中原網頁
be88c28751b81d4e27632c9bed16cda5,08/03/2024,美孚,美孚新邨,萬事達廣場15-17號,middle,17號C,16300,466.0,621.0,35.0,26.0,中原網頁
919ec189111e0c57ed7713685d5205b7,08/03/2024,灣仔,尚翹峰,2座,middle,D,23800,498.0,669.0,48.0,36.0,中原網頁
d1033a402c1510b3dc2c6fee1e911f4d,08/03/2024,荃景圍,荃景花園,10座,middle,F,13300,380.0,465.0,35.0,29.0,中原網頁
3b774e1505cb22be0ea0e985f41e09b8,08/03/2024,荃景圍,荃景花園,10座,low,B,13500,431.0,511.0,31.0,26.0,中原網頁
4bc55ac4d8c320f4762bd8f4efc59f02,08/03/2024,深水埗,嘉順大廈,嘉順大廈,middle,B,14000,400.0,560.0,35.0,25.0,利嘉閣網頁
6aa9da979aeeec514958233e62856a6d,08/03/2024,愉景新城,愉景新城,6座,middle,G,16500,485.0,610.0,34.0,27.0,中原網頁
abea6c3f659ef743f2b614fad59372f6,08/03/2024,大埔市中心,翠屏花園,C座,middle,8,10000,269.0,367.0,37.0,27.0,中原網頁
ccaf8e44812f3f282ae8d799c82e9abb,08/03/2024,元朗站,尚豪庭,1座,middle,C,13900,463.0,595.0,30.0,23.0,中原網頁
9f6879b1a347af543d6b81450333f95a,08/03/2024,凹頭,尚悅,5座,middle,B,12000,403.0,547.0,30.0,22.0,利嘉閣網頁
ca62f0419c5289b3e4041ab28f0f9335,08/03/2024,上水,彩蒲苑,彩瑩閣(A座),low,16,10000,338.0,451.0,30.0,22.0,中原網頁
ee3535a8022b8ab3692f44a80abc778d,08/03/2024,元朗站,Yoho Town,9座,low,A,13000,422.0,544.0,31.0,24.0,中原網頁
f028d01677425c562b316a6293014ad0,08/03/2024,元朗站,Yoho Town,9座,low,C,13800,463.0,599.0,30.0,23.0,中原網頁
fef0e9e72074fee09048c1845acb1421,08/03/2024,元朗市中心,好順泰大廈,A座,middle,D(4),9200,290.0,380.0,32.0,24.0,中原網頁
dcffc644bd862df094d3208ba2c9603b,08/03/2024,沙田第一城,沙田第一城,44座,middle,H,13500,304.0,410.0,44.0,33.0,中原網頁
5f81de575f58b6416fd60562d1627559,07/03/2024,寶琳,新都城,4座,middle,B,13750,364.0,487.0,38.0,28.0,中原網頁
08ec1356f3c3eb32814ad7f8e4b6307e,07/03/2024,屯門市中心,屯門市廣場,2座,low,D,12000,325.0,422.0,37.0,28.0,利嘉閣網頁
e1868e00795a9553d578b9b2d5acd240,07/03/2024,奧運站,維港灣,8座,middle,E,21000,464.0,639.0,45.0,33.0,利嘉閣網頁
7789e2d7faaca89e45756b9809aa8cba,07/03/2024,凹頭,尚悅,9座,low,J,12800,440.0,596.0,29.0,21.0,中原網頁
8c1e977ca95283b8fa0996949b5fa6fd,06/03/2024,調景嶺,維景灣畔,09座,low,G,18300,496.0,678.0,37.0,27.0,美聯網頁
b513d954bd089cf98570b90e8c38aa8f,06/03/2024,何文田,欣圖軒,3座,middle,B,17000,485.0,611.0,35.0,28.0,中原網頁
7f0bb0409d5ad1a679d2434f85565e57,06/03/2024,屯門市中心,時代廣場,C座,low,4,10500,346.0,452.0,30.0,23.0,中原網頁
7d91ef971817393bb63ae2cb84078e6a,06/03/2024,奧運站,柏景灣,8座,middle,E,20500,449.0,618.0,46.0,33.0,中原網頁
3a34c7363e2c4ccbcb726aed79a021af,06/03/2024,粉嶺,牽晴間,5座,middle,A,11800,384.0,532.0,31.0,22.0,利嘉閣網頁
9cc08e5950682991908896b45ba4916d,06/03/2024,大圍,美城苑,貴城閣(A座),middle,11,14000,438.0,587.0,32.0,24.0,中原網頁
02b9b3762f83d1be44b190fe4a91221f,05/03/2024,粉嶺,粉嶺中心,E座,low,8,11000,368.0,470.0,30.0,24.0,美聯網頁
67fb85486a394d55f679acae37cb5829,05/03/2024,屯門新墟,蘭苑,蘭苑,middle,A,8800,310.0,420.0,28.0,21.0,利嘉閣網頁
d83a1182662b9ab143166d0802f8b50d,05/03/2024,大坑,瑆華,瑆華,middle,B,26000,383.0,543.0,68.0,48.0,中原網頁
88bbe9dcfeb7d330e1ea75d8d6ef1748,05/03/2024,太古城,匯豪峰,匯豪峰,middle,D,21000,473.0,635.0,44.0,33.0,中原網頁
b93caf9214e30aaac29aa12f9b4fd3ea,05/03/2024,綠楊,綠楊新邨,D座,low,2,13800,451.0,518.0,31.0,27.0,中原網頁
224bb9e4b60dd2f353d76395a15dfbb4,05/03/2024,下葵涌,新葵芳花園,A座,low,3,14000,408.0,519.0,34.0,27.0,中原網頁
cabc8ea98d92e95fb1df1846f7abeeea,05/03/2024,深井,海雲軒,1座,middle,B,15500,469.0,661.0,33.0,23.0,中原網頁
075167453e889f5fd3caa61e3346f582,05/03/2024,九龍灣,淘大花園,A座,middle,8,15300,375.0,482.0,41.0,32.0,中原網頁
44e552950e1df994be30ed3b1d7841d8,05/03/2024,粉嶺,碧湖花園,2座,low,G,11300,400.0,518.0,28.0,22.0,中原網頁
87132c627dcb99dee4a5813197c21709,05/03/2024,跑馬地,金光大廈,金光大廈,low,A,14200,346.0,425.0,41.0,33.0,中原網頁
6b5e6aea04ce76f89fc2901eb2411881,05/03/2024,美孚,美孚新邨,百老匯街15-17號,low,17號C,15800,446.0,617.0,35.0,26.0,利嘉閣網頁
dad34b2536d3e17204f0a447d4b558f0,05/03/2024,薄扶林,薄扶林花園,4座,low,B,15000,466.0,535.0,32.0,28.0,中原網頁
3760c76b85e55cd369b254c4a044d3b7,05/03/2024,薄扶林,薄扶林花園,2座,low,G,16300,456.0,526.0,36.0,31.0,中原網頁
f5567f9e9cb4aa71d3374e891169ca24,05/03/2024,上水,上水中心,5座,middle,G,11500,361.0,468.0,32.0,25.0,中原網頁
eca5b52b19dbaffc782daeb8fcda1efb,05/03/2024,天水圍,嘉湖山莊,3座,low,E,10500,446.0,581.0,24.0,18.0,中原網頁
4b8ef55fc1c2b3f3bca41326f6711dd7,05/03/2024,將軍澳,將軍澳中心,3座,low,A,17500,465.0,617.0,38.0,28.0,中原網頁
7bab2394a09b685dd6713adaa986aa87,04/03/2024,屯門市中心,屯門市廣場,3座,middle,K,11500,393.0,549.0,30.0,21.0,美聯網頁
fbe39b3b694269eb2ffae7b9c4e10fad,04/03/2024,兆康,疊茵庭,7座,middle,D,11500,376.0,552.0,31.0,21.0,中原網頁
881ade4b58236b7f1fa3ece63a25802a,04/03/2024,奧運站,凱帆軒,1座,low,A,17000,475.0,633.0,36.0,27.0,中原網頁
2235656d1c61586544d5c9fd07d09027,04/03/2024,坑口,新寶城,5座,middle,C,15500,378.0,528.0,41.0,29.0,中原網頁
531cee8bf9dcdb5941054e00976acdd7,04/03/2024,灣仔,嘉薈軒,嘉薈軒,middle,5,23000,408.0,542.0,56.0,42.0,中原網頁
ad2201ef342749426aba8d13524d44e4,04/03/2024,馬鞍山,新港城,L座,middle,3,14500,363.0,491.0,40.0,30.0,中原網頁
31863f968777663ded37df14539703ea,04/03/2024,天水圍,嘉湖山莊,1座,middle,F,10800,449.0,576.0,24.0,19.0,中原網頁
9a50c7e971cae44e5cf3e45f23550941,03/03/2024,沙田第一城,沙田第一城,50座,low,B,12800,284.0,395.0,46.0,33.0,美聯網頁
7d33f29c122a7ef52d21cfe437c49c99,03/03/2024,大角咀,港灣豪庭,06座,middle,A,15000,322.0,477.0,47.0,32.0,美聯網頁
f4ae9bf04d853c80aca8bcafe5bdc0c3,03/03/2024,沙田第一城,沙田第一城,23座,middle,H,12800,327.0,395.0,40.0,33.0,美聯網頁
1abddaef421a7131862d29761a1f1fcb,03/03/2024,奧運站,凱帆軒,1座,low,B,18200,467.0,638.0,39.0,29.0,中原網頁
e99247cf2bd63502e8b0857b45397242,03/03/2024,九龍站,凱旋門,觀星閣(2座),low,C,28000,412.0,565.0,68.0,50.0,利嘉閣網頁
bc05bfe95f404bdf17c9846c642640b7,03/03/2024,寶琳,新都城,3座,middle,D,17500,441.0,617.0,40.0,28.0,利嘉閣網頁
c44b169511cc62d630d6dfbe9e366061,03/03/2024,將軍澳,將軍澳廣場,3A座,low,E,17300,442.0,606.0,39.0,29.0,利嘉閣網頁
eb5d8ddaae9ca95648b6587faa5fa094,03/03/2024,粉嶺,欣翠花園,3座,low,F,9800,378.0,451.0,26.0,22.0,中原網頁
ae61ca20a2e0363c2142c9a6d86c312c,03/03/2024,荃景圍,荃德花園,B座,low,D,9800,287.0,427.0,34.0,23.0,中原網頁
f4fb031748b737361ada79e743a34a17,03/03/2024,深水埗,嘉裕居,嘉裕居,low,B,13500,305.0,482.0,44.0,28.0,中原網頁
f3ca53c94e62d6267c9eea499eac7652,03/03/2024,荃灣市中心,周合成大廈,周合成大廈,low,A,10600,284.0,420.0,37.0,25.0,中原網頁
d7633574fd186fbfc39f71c63820492c,03/03/2024,小西灣,藍灣半島,5座,middle,G,18800,457.0,650.0,41.0,29.0,利嘉閣網頁
fb3b268a110ffcc3ea74ecbfa00251f2,02/03/2024,屯門市中心,屯門市廣場,7座,low,H,12000,438.0,587.0,28.0,21.0,美聯網頁
6419f9e631521a96f07bad2201d18f7e,02/03/2024,馬灣,珀麗灣,19座,low,H,13000,490.0,653.0,27.0,20.0,美聯網頁
c605ecaba79c6ee86c10c465353a39ad,02/03/2024,大埔市中心,大埔中心,02座,low,A,13000,409.0,551.0,32.0,24.0,美聯網頁
47aaaec64fcda2e3add92e6394cd2a1a,02/03/2024,掃管笏,愛琴海岸,7座,middle,H,13000,490.0,653.0,27.0,20.0,利嘉閣網頁
1daf204c5b837b0364fb61744d3be708,02/03/2024,堅尼地城,綠意居,綠意居,middle,C,21500,399.0,551.0,54.0,39.0,中原網頁
436a5c303e5d73ea0adbf90f2ec169c0,02/03/2024,調景嶺,維景灣畔,9座,low,C,18000,498.0,683.0,36.0,26.0,利嘉閣網頁
a6988ec706a6ecdcad2d8c5fa2fa493f,01/03/2024,西灣河,譽．東,譽．東,middle,C,18500,329.0,438.0,56.0,42.0,利嘉閣網頁
b76c701a7964cbedff136ea8634c9a6f,01/03/2024,西營盤,仁信大廈,仁信大廈,middle,C,14500,240.0,345.0,60.0,42.0,利嘉閣網頁
422b91ca407007539bc5b3acd7ff126d,01/03/2024,寶琳,慧安園,1座,low,E,16000,351.0,484.0,46.0,33.0,利嘉閣網頁
c3b5965ff3421bc3c3965f8b27d77c05,01/03/2024,粉嶺,帝庭軒,7座,middle,G,11200,462.0,657.0,24.0,17.0,利嘉閣網頁
a403da5f35d11a9d602a3cdfa519b831,01/03/2024,九龍城,御．太子,御．太子,low,A,16500,409.0,602.0,40.0,27.0,利嘉閣網頁
2e47dba132a5a9c720b1f477a7a8afb6,01/03/2024,大角咀,港灣豪庭,3座,middle,A,15380,326.0,477.0,47.0,32.0,利嘉閣網頁
8aeca4e0d45d82a1ab2917518b9200fb,01/03/2024,綠楊,綠楊新邨,J座,low,7,13800,451.0,518.0,31.0,27.0,中原網頁
bff86382ff2ad35d69adfc7e3f8a8da8,01/03/2024,馬灣,珀麗灣,17座,middle,J,13700,378.0,498.0,36.0,28.0,中原網頁
4520f09aa605d28f8cf60afb63ef2380,01/03/2024,薄扶林,置富花園,富仁苑(H-8座),middle,D,13177,439.0,518.0,30.0,25.0,中原網頁
2faac73ae2468140a27600462cead242,01/03/2024,洪水橋北新發展,雅珊園,2座,low,F,11000,447.0,528.0,25.0,21.0,中原網頁
031a5befb6fd8831d0a9483e1fd42a11,01/03/2024,上水,皇府山,2座,low,D,12300,442.0,573.0,28.0,21.0,利嘉閣網頁
9020ead40d7eabc1bf8339375dbbca89,01/03/2024,上水,皇府山,1座,middle,H,12000,442.0,573.0,27.0,21.0,利嘉閣網頁
19636aa2d5196146e1be1416f0ed1eab,01/03/2024,凹頭,尚悅,12座,middle,E,10800,355.0,492.0,30.0,22.0,利嘉閣網頁
20d3af70acc8988865551a1ddf815dff,01/03/2024,元朗站,采葉庭,16座,middle,D,13000,460.0,609.0,28.0,21.0,利嘉閣網頁
940437fd8cf3d52f3738612eea0960b7,01/03/2024,元朗市中心,朗庭園,1座,low,A,11500,396.0,530.0,29.0,22.0,中原網頁
d2eeb86ea2afa34b422741ecc624d249,01/03/2024,天水圍,天頌苑,頌琴閣(N座),middle,15,10500,433.0,579.0,24.0,18.0,中原網頁
24b67b3c71bd2fe3c187a2604e71ca6f,01/03/2024,置樂,麗寶大廈,麗寶大廈,middle,A,8500,239.0,339.0,36.0,25.0,中原網頁
2d0f18b2de3771177e484bd1037fafcf,01/03/2024,屯門市中心,時代廣場,C座,middle,7,8500,272.0,364.0,31.0,23.0,利嘉閣網頁
6fe73512e789f46865182641b42153d9,01/03/2024,屯門市中心,時代廣場,C座,middle,5,9400,272.0,364.0,35.0,26.0,中原網頁
44f398817dc3964dbe26e803235457d6,01/03/2024,屯門市中心,華都花園,5座,middle,A,10000,414.0,507.0,24.0,20.0,中原網頁
d89c47a23c32108439d6f1446dc244c0,01/03/2024,元朗站,Yoho Town,6座,low,H,14000,422.0,544.0,33.0,26.0,中原網頁
7a8b6da132e2816d4c6827c5561f7fcc,01/03/2024,上水,安盛苑,安盛苑,low,18,12500,441.0,586.0,28.0,21.0,利嘉閣網頁
95641645a13f574e1bef09f2d0d00a18,01/03/2024,粉嶺,牽晴間,3座,low,E,12500,384.0,521.0,33.0,24.0,中原網頁
41c21473f73934cb5981756d7e40909f,01/03/2024,粉嶺,牽晴間,1座,middle,A,12000,391.0,544.0,31.0,22.0,中原網頁
9bebdc2e774d3b587e294e2e7269521f,01/03/2024,上水,彩蒲苑,彩晶閣(B座),middle,12,9500,351.0,468.0,27.0,20.0,中原網頁
a6a43f852614e19370b45a52fdb6b519,01/03/2024,下葵涌,月海灣,2座,middle,B,15000,412.0,599.0,36.0,25.0,中原網頁
0ac3184d9e8b46f9f432666b5ba36671,01/03/2024,綠楊,綠楊新邨,S座,middle,1,16200,475.0,555.0,34.0,29.0,中原網頁
94704bba3048eacf8326ca0126e1f6de,01/03/2024,綠楊,綠楊新邨,D座,low,2,15500,451.0,518.0,34.0,30.0,中原網頁
44f8e6ca34858aae4213398a4bbf7558,01/03/2024,青衣,海欣花園,6座,middle,C,15800,463.0,610.0,34.0,26.0,中原網頁
aaaf61c4d2315ee64125423b1f25624a,01/03/2024,青衣,青怡花園,2座,low,F,13200,343.0,432.0,38.0,31.0,中原網頁
cc045bfd701899d90575cb182067f52c,01/03/2024,青衣,翠怡花園,1座,low,C,12500,365.0,482.0,34.0,26.0,利嘉閣網頁
7e93c98de9165912f218d807fa32e908,01/03/2024,青衣,翠怡花園,4座,low,G,13500,368.0,485.0,37.0,28.0,中原網頁
0019318e8f9935f51aafca78a5a22ba0,01/03/2024,奧運站,凱帆軒,3座,middle,G,18000,432.0,590.0,42.0,31.0,中原網頁
d97b70904926e49605f91ab1d6c3631f,01/03/2024,奧運站,凱帆軒,1座,low,E,18800,465.0,629.0,40.0,30.0,利嘉閣網頁
051744b5f22bc93e68de633078dba3c4,01/03/2024,四小龍,昇悅居,6座,low,H,15053,460.0,606.0,33.0,25.0,利嘉閣網頁
b21c154c87c0bc8fd7483dbf3b5ca0e2,01/03/2024,大角咀,奧柏．御峰,1座,low,H,13500,280.0,348.0,48.0,39.0,中原網頁
25b02c7bb727236b8a402bd49125fd1c,01/03/2024,奧運站,帝峰．皇殿,7座,low,B,16300,300.0,375.0,54.0,43.0,利嘉閣網頁
3cbd837438a02baf2c8698abe1202aeb,01/03/2024,旺角,金國中心,金國中心,middle,B,11300,221.0,347.0,51.0,33.0,中原網頁
608297ad6ef63dc2baac76d01cf2a2ba,01/03/2024,大角咀,港灣豪庭,8座,middle,D,15600,348.0,499.0,45.0,31.0,中原網頁
3307f3d87e2b0b3fef728188da19221f,01/03/2024,九龍站,御金．國峰,7座,middle,B,17000,400.0,510.0,43.0,33.0,利嘉閣網頁
b628e1bf6dfe2af40ee6084d3dabf3f5,01/03/2024,坑口,東港城,1座,low,B,17200,463.0,595.0,37.0,29.0,利嘉閣網頁
ccb8226aa9c9bb4b2513b5cba717d9dc,01/03/2024,大圍,豐盛苑,榮盛閣(A座),low,12,13500,490.0,693.0,28.0,19.0,中原網頁
1e0fc1b458b1fcd3824f79908858e063,01/03/2024,大圍,豐盛苑,榮盛閣(A座),middle,6,12500,381.0,539.0,33.0,23.0,中原網頁
0b6a2ae17fab747ad6b471b72970ed3f,01/03/2024,馬鞍山,海柏花園,1座,middle,B,16000,396.0,531.0,40.0,30.0,中原網頁
0c6b900519ef3145935ea12c86fd5f10,01/03/2024,馬鞍山,迎海,1座,low,A,18000,496.0,639.0,36.0,28.0,中原網頁
cec096129c25e222714a8c19d7c79217,01/03/2024,馬鞍山,海典灣,1座,middle,E,16000,474.0,635.0,34.0,25.0,中原網頁
b03910f7e1b8fbdcf8b9d02d7b854cc0,01/03/2024,大埔市中心,翠屏花園,A座,low,6,10000,269.0,367.0,37.0,27.0,中原網頁
1f897e225dc2fbb5c749cdc8b57e12d9,01/03/2024,北角,港運城,3座,low,E,21000,469.0,597.0,45.0,35.0,利嘉閣網頁
561da72a1194456eea48ae317648891b,01/03/2024,香港仔,漁暉苑,美暉閣(C座),low,2,11000,384.0,460.0,29.0,24.0,中原網頁
b27b434ea3877198b55cf503aa9b180f,01/03/2024,屯門南,豐景園,5座,low,1,8200,301.0,435.0,27.0,19.0,中原網頁
2fd3b375b4b3f69a837da328fae81d2b,01/03/2024,屯門碼頭,邁亞美海灣,5座,low,H,9000,431.0,556.0,21.0,16.0,中原網頁
1f35171afae55788804154f9b4597d28,01/03/2024,屯門碼頭,兆禧苑,安禧閣(A座),middle,3,9000,415.0,567.0,22.0,16.0,中原網頁
04660dbdef8b131767cd4dcfbaed09a6,01/03/2024,屯門市中心,屯門市廣場,3座,low,F,12800,392.0,548.0,33.0,23.0,中原網頁
d84d34df244a8f26712a90220bb9b906,01/03/2024,屯門市中心,雅都花園,B座(2座),middle,E,12000,426.0,534.0,28.0,22.0,中原網頁
d5fc7fb5c89d2d1af34a5c11e50bfbcd,01/03/2024,黃埔,黃埔花園,3座,low,G,17000,389.0,469.0,44.0,36.0,中原網頁
fcbe755d6852a305a4a8fce9a011e0fa,01/03/2024,上水,新都廣場,2座,low,D,14000,490.0,595.0,29.0,24.0,中原網頁
