region,address,actual area(ft.),built area(ft.),actual price(HKD/ft.),built price(HKD/ft.),price per actual area,area ratio(ft.),sold price(HKD),prediction price(HKD)
杏花邨,杏花邨,643.0,760.0,37.0,31.0,37.01,1.18,23800,21687.92
大圍,金獅花園,270.0,418.0,41.0,26.0,40.74,1.55,11000,9740.25
何文田,富都大廈,476.0,577.0,36.0,30.0,35.92,1.21,17100,16424.65
深井,海韻臺,746.0,904.0,26.0,21.0,25.87,1.21,19300,18256.13
康城,日出康城,705.0,945.0,30.0,22.0,29.79,1.34,21000,19684.23
粉嶺,粉嶺中心,535.0,694.0,29.0,22.0,28.97,1.3,15500,15568.1
坑口,安寧花園,465.0,551.0,34.0,29.0,34.41,1.18,16000,15061.98
麗城,麗城花園,728.0,846.0,29.0,25.0,29.26,1.16,21300,20287.29
大圍,名城,680.0,903.0,40.0,30.0,39.71,1.33,27000,23909.22
薄扶林,置富花園,588.0,694.0,34.0,29.0,34.01,1.18,20000,18898.11
北角,形品,564.0,720.0,46.0,36.0,46.1,1.28,26000,23375.16
深灣,金寶花園,358.0,492.0,42.0,30.0,41.9,1.37,15000,14564.84
奧運站,海桃灣,451.0,618.0,42.0,31.0,41.91,1.37,18900,17564.5
調景嶺,都會駅,488.0,659.0,39.0,29.0,38.93,1.35,19000,18036.25
愉景灣,愉景灣,755.0,889.0,21.0,18.0,21.19,1.18,16000,16305.51
淺水灣,陽明山莊,1031.0,1298.0,44.0,35.0,43.65,1.26,45000,40069.72
新蒲崗,譽．港灣,543.0,703.0,40.0,31.0,39.59,1.29,21500,20018.12
荔灣,荔灣花園,426.0,477.0,32.0,28.0,31.69,1.12,13500,13007.13
荃灣西,爵悅庭,722.0,995.0,35.0,26.0,35.32,1.38,25500,22938.28
又一村,又一村花園,805.0,961.0,52.0,44.0,51.93,1.19,41800,36516.58
掃管笏,香港黃金海岸,710.0,935.0,29.0,22.0,29.3,1.32,20800,19309.88
大圍,海福花園,409.0,470.0,43.0,37.0,42.79,1.15,17500,16625.7
火炭,華翠園,882.0,1052.0,32.0,27.0,31.75,1.19,28000,25289.6
寶琳,新都城,364.0,511.0,43.0,30.0,42.58,1.4,15500,14968.26
九龍站,漾日居,1136.0,1480.0,40.0,30.0,39.61,1.3,45000,40087.35
沙田,偉華中心,358.0,483.0,49.0,36.0,48.88,1.35,17500,16299.18
屯門碼頭,慧豐園,646.0,865.0,25.0,18.0,24.77,1.34,16000,16110.06
太古城,太古城,760.0,876.0,39.0,34.0,39.47,1.15,30000,25991.18
沙田,沙田廣場,612.0,774.0,38.0,30.0,37.58,1.26,23000,21334.35
灣仔,星域軒,898.0,1130.0,65.0,51.0,64.59,1.26,58000,52325.86
將軍澳,將軍澳廣場,428.0,587.0,40.0,29.0,40.42,1.37,17300,16334.84
北角,和富中心,733.0,846.0,38.0,33.0,37.52,1.15,27500,24475.28
洪水橋北新發展,尚城,530.0,697.0,25.0,19.0,24.53,1.32,13000,13097.52
上水,上水中心,342.0,463.0,34.0,25.0,33.63,1.35,11500,9529.25
黃埔,黃埔花園,708.0,800.0,37.0,33.0,36.72,1.13,26000,24493.54
火炭,御龍山,773.0,992.0,39.0,30.0,38.81,1.28,30000,26230.95
洪水橋北新發展,錦珊園,651.0,738.0,21.0,18.0,20.74,1.13,13500,13305.2
東涌市中心,映灣園,928.0,1228.0,31.0,24.0,31.25,1.32,29000,25777.42
大埔半山,天賦海灣,1212.0,1581.0,32.0,25.0,32.18,1.3,39000,35542.98
將軍澳,天晉,826.0,1055.0,44.0,34.0,43.58,1.28,36000,31344.12
西灣河,港島．東18,356.0,494.0,47.0,34.0,47.19,1.39,16800,15989.1
奧運站,君匯港,478.0,621.0,44.0,34.0,43.93,1.3,21000,19227.43
西灣河,嘉亨灣,1129.0,1532.0,49.0,36.0,48.72,1.36,55000,48886.62
東涌市中心,映灣園,563.0,749.0,32.0,24.0,31.97,1.33,18000,17427.22
荃灣海濱,海濱花園,577.0,696.0,32.0,26.0,31.72,1.21,18300,17736.57
馬鞍山,銀湖．天峰,541.0,711.0,33.0,25.0,33.27,1.31,18000,17706.04
大埔半山,天賦海灣,1105.0,1430.0,28.0,22.0,27.87,1.29,30800,27670.57
大坑半山,大坑台,511.0,595.0,46.0,39.0,45.99,1.16,23500,21449.0
將軍澳,天晉,538.0,697.0,43.0,33.0,42.38,1.3,22800,20881.23
粉嶺,碧湖花園,400.0,518.0,30.0,23.0,30.0,1.3,12000,10718.45
東涌市中心,映灣園,970.0,1274.0,29.0,22.0,28.35,1.31,27500,25046.8
九龍站,擎天半島,1249.0,1657.0,54.0,41.0,54.44,1.33,68000,59769.09
九龍塘,翠麗苑,626.0,769.0,42.0,34.0,41.53,1.23,26000,23493.52
青龍頭,豪景花園,1381.0,1893.0,21.0,16.0,21.0,1.37,29000,30355.3
西營盤,縉城峰,374.0,496.0,64.0,48.0,64.17,1.33,24000,22496.41
荃灣市中心,東亞花園,460.0,620.0,34.0,25.0,33.7,1.35,15500,15471.74
香港仔,香港仔中心,485.0,578.0,31.0,26.0,30.93,1.19,15000,15098.98
大角咀,港灣豪庭,413.0,584.0,43.0,30.0,42.37,1.41,17500,16711.24
調景嶺,都會駅,594.0,809.0,40.0,30.0,40.4,1.36,24000,22182.35
北角,光超台,434.0,566.0,37.0,28.0,36.87,1.3,16000,15062.46
奧運站,瓏璽,667.0,857.0,50.0,39.0,50.22,1.28,33500,29346.65
奧運站,凱帆軒,465.0,621.0,39.0,29.0,38.71,1.34,18000,17010.76
玉桂山灣畔,深灣軒,480.0,628.0,41.0,31.0,40.62,1.31,19500,17887.02
天后,海新大廈,326.0,477.0,44.0,30.0,44.48,1.46,14500,14148.06
玉桂山灣畔,深灣軒,483.0,643.0,40.0,30.0,40.37,1.33,19500,17832.1
西半山,羅便臣道80號,618.0,813.0,55.0,42.0,55.02,1.32,34000,30430.92
盈暉,盈暉臺,452.0,626.0,41.0,30.0,40.93,1.38,18500,17204.51
油柑頭,恒麗園,634.0,910.0,30.0,21.0,29.65,1.44,18800,18182.1
大角咀,港灣豪庭,326.0,477.0,49.0,34.0,49.08,1.46,16000,15763.8
元朗市中心,雍翠豪園,488.0,669.0,27.0,19.0,26.64,1.37,13000,12540.25
薄扶林,美景臺,1963.0,2194.0,36.0,32.0,35.66,1.12,70000,66960.22
馬灣,珀麗灣,476.0,622.0,34.0,26.0,33.19,1.31,15800,16287.42
馬鞍山,錦英苑,401.0,514.0,30.0,23.0,29.93,1.28,12000,10777.54
屯門北,大興花園,447.0,583.0,27.0,21.0,26.85,1.3,12000,11042.5
大圍,名城,784.0,1030.0,38.0,29.0,37.63,1.31,29500,25816.37
石塘咀,曉山閣,299.0,421.0,54.0,38.0,53.51,1.41,16000,15505.91
火炭,銀禧花園,498.0,623.0,34.0,27.0,33.73,1.25,16800,16580.74
青龍頭,豪景花園,792.0,1136.0,20.0,14.0,19.95,1.43,15800,17237.95
元朗市中心,御景園,484.0,620.0,27.0,21.0,26.86,1.28,13000,12477.89
上環,寶泰大廈,435.0,632.0,40.0,28.0,40.23,1.45,17500,16663.38
沙田第一城,沙田第一城,326.0,395.0,41.0,34.0,41.41,1.21,13500,13645.42
大角咀,港灣豪庭,344.0,504.0,48.0,33.0,47.97,1.47,16500,16012.15
大角咀,港灣豪庭,436.0,595.0,39.0,29.0,38.99,1.36,17000,16364.52
青衣,盈翠半島,677.0,852.0,39.0,31.0,39.14,1.26,26500,24099.81
元朗站,Yoho Town,534.0,687.0,32.0,25.0,31.84,1.29,17000,16352.18
屯門碼頭,美樂花園,589.0,677.0,23.0,20.0,22.92,1.15,13500,12893.09
青衣,盈翠半島,756.0,951.0,37.0,29.0,36.77,1.26,27800,25042.66
灣仔,樂居樓,368.0,550.0,41.0,28.0,41.3,1.49,15200,14886.01
屯門南,恆福花園,437.0,554.0,24.0,19.0,23.57,1.27,10300,10086.54
愉景新城,愉景新城,650.0,805.0,32.0,26.0,32.31,1.24,21000,19298.88
又一村,又一居,439.0,547.0,55.0,44.0,54.67,1.25,24000,22369.31
西半山,樂信臺,746.0,890.0,42.0,35.0,41.55,1.19,31000,27601.06
青衣,青泰苑,401.0,516.0,36.0,28.0,36.16,1.29,14500,14482.53
屯門北,大興花園,447.0,583.0,27.0,21.0,26.85,1.3,12000,11042.5
元朗市中心,好旺洋樓,271.0,413.0,34.0,22.0,33.95,1.52,9200,8350.55
貝沙灣,貝沙灣,1376.0,1690.0,43.0,35.0,42.88,1.23,59000,53376.4
淺水灣,陽明山莊,1031.0,1298.0,44.0,35.0,43.65,1.26,45000,40069.72
荔景,翠瑤苑,466.0,547.0,27.0,23.0,26.82,1.17,12500,11389.47
沙田第一城,沙田第一城,327.0,395.0,43.0,36.0,43.43,1.21,14200,14392.39
大坑半山,渣甸豪庭,767.0,1206.0,43.0,27.0,42.76,1.57,32800,29385.8
京士柏,爵士花園,1059.0,1323.0,37.0,30.0,37.3,1.25,39500,34958.24
東涌市中心,映灣園,912.0,1220.0,30.0,23.0,30.15,1.34,27500,24628.64
青衣,海欣花園,451.0,606.0,36.0,27.0,36.14,1.34,16300,16429.36
大埔墟,新峰花園,736.0,922.0,29.0,23.0,28.53,1.25,21000,19637.75
東涌市中心,東堤灣畔,536.0,734.0,35.0,26.0,35.45,1.37,19000,17744.26
康城,日出康城,680.0,909.0,29.0,22.0,29.41,1.34,20000,18637.54
天水圍,嘉湖山莊,442.0,576.0,26.0,20.0,26.24,1.3,11600,10952.09
坑口,東港城,619.0,790.0,37.0,29.0,37.16,1.28,23000,21048.2
上水,上水中心,351.0,468.0,34.0,26.0,34.19,1.33,12000,10155.12
凹頭,朗怡居,552.0,697.0,25.0,20.0,25.36,1.26,14000,13241.4
鰂魚涌,南豐新邨,391.0,474.0,40.0,33.0,40.41,1.21,15800,15612.81
將軍澳,天晉,873.0,1128.0,45.0,35.0,44.67,1.29,39000,34439.93
凹頭,蝶翠峰,525.0,697.0,29.0,22.0,28.57,1.33,15000,14525.56
將軍澳,將軍澳中心,467.0,620.0,37.0,28.0,37.47,1.33,17500,16627.96
長沙灣,One Madison,249.0,345.0,55.0,40.0,55.02,1.39,13700,14639.99
天水圍,嘉湖山莊,629.0,825.0,24.0,18.0,23.53,1.31,14800,15045.47
太古城,太古城,747.0,843.0,44.0,39.0,44.18,1.13,33000,28433.66
海怡,海怡半島,871.0,1078.0,39.0,31.0,38.81,1.24,33800,29486.66
九龍站,君臨天下,1062.0,1443.0,55.0,40.0,54.61,1.36,58000,51599.2
大圍,名城,757.0,1000.0,41.0,31.0,40.95,1.32,31000,26888.22
奧運站,瓏璽,666.0,856.0,54.0,42.0,54.05,1.29,36000,31748.94
東涌市中心,東堤灣畔,868.0,1154.0,29.0,22.0,29.38,1.33,25500,22624.88
堅尼地城,嘉輝花園,282.0,377.0,51.0,38.0,51.42,1.34,14500,14966.79
元朗站,Yoho Town,411.0,550.0,36.0,27.0,36.5,1.34,15000,13710.96
屯門碼頭,邁亞美海灣,450.0,580.0,28.0,22.0,28.22,1.29,12700,11283.55
